red_izo,CJ UZ Z,AJ UZ Z,CJ PP Z,AJ PP Z,MA DT Z,CJ DT Z,AJ DT Z,www,adresa,nazev_plny,red_naz,KODOK,NAZOK,NAZKR
600019535,32.6,21.6,44.7,7.5,8.6,37.4,14.1,www.zdravka.cz,"Tyršova 105, Mělník","Soukromá střední zdravotnická škola Mělník, o.p.s.","Soukr.SZdŠ Mělník, o.p.s.",3206,Mělník,Středočeský
600007375,30.4,50.7,34.1,44.1,49.5,39.0,43.3,http://www.spss-mel.cz,"Českobratrská 386, Mělník","Střední průmyslová škola stavební, Mělník, Českobratrská 386",Střední průmyslová škola stavební,3206,Mělník,Středočeský
691002037,50.8,49.7,68.2,42.6,23.1,39.0,30.5,http://soaneratovice.cz,"Palackého 43, Neratovice","Ekonomické lyceum a Obchodní akademie SOVA, o.p.s.","Ek. lyceum a Obch. akademie SOVA, o.p.s.",3206,Mělník,Středočeský
600007308,44.3,57.1,58.1,71.9,80.7,71.9,69.0,www.gfp.cz,"Masarykova 450, Neratovice","Gymnázium Františka Palackého, Neratovice, Masarykova 450",Gymnázium Františka Palackého,3206,Mělník,Středočeský
610450620,25.5,31.3,39.3,31.0,,35.9,32.6,http://www.sosasouneratovice.cz,"Školní 664, Neratovice","Střední odborná škola a Střední odborné učiliště, Neratovice, Školní 664",SOŠ a SOU,3206,Mělník,Středočeský
600007511,30.9,46.1,67.7,62.6,20.8,37.7,43.7,http://www.souhorky.cz,"Horky nad Jizerou 35, Brodce nad Jizerou","Střední odborná škola a Střední odborné učiliště, Horky nad Jizerou 35",SOŠ a SOU,3207,Mladá Boleslav,Středočeský
600007537,,,,,,,,www.souhubalov.cz,"Loukovec, Hubálov 17, Loukov","Střední odborné učiliště, Hubálov 17",Střední odborné učiliště,3207,Mladá Boleslav,Středočeský
600007502,55.3,60.0,68.0,56.0,78.7,81.4,64.1,www.pekargmb.cz,"Palackého 211, Mladá Boleslav","Gymnázium Dr. Josefa Pekaře, Mladá Boleslav, Palackého 211",Gymnázium Dr. Josefa Pekaře,3207,Mladá Boleslav,Středočeský
600007413,65.4,74.6,78.1,70.7,82.8,82.5,80.3,www.g8mb.cz,"Palackého 191, Mladá Boleslav","Gymnázium, Mladá Boleslav, Palackého 191/1",Gymnázium,3207,Mladá Boleslav,Středočeský
600170179,20.5,41.5,38.9,35.0,23.6,34.8,12.8,www.issmb.cz,"Na Karmeli 206, Mladá Boleslav","Integrovaná střední škola, Mladá Boleslav, Na Karmeli 206",Integrovaná střední škola,3207,Mladá Boleslav,Středočeský
600007529,44.3,43.8,62.5,56.7,57.7,55.2,52.6,http://www.oamb.cz,"T. G. Masaryka 14, Mladá Boleslav","Obchodní akademie, Vyšší odborná škola ekonomická a Jazyková škola s právem státní jazykové zkoušky, Mladá Boleslav, T. G. Masaryka 14","OA, VOŠ ekonomická a JŠ s právem SJZ",3207,Mladá Boleslav,Středočeský
610451049,35.5,17.1,26.5,27.4,32.0,38.9,23.2,http://www.odbskmb.cz,"Jičínská 762, Mladá Boleslav","Střední odborná škola a Střední odborné učiliště, Mladá Boleslav, Jičínská 762",SOŠ a SOU,3207,Mladá Boleslav,Středočeský
600007464,27.9,39.8,25.6,26.0,5.2,42.4,32.3,http://www.maja-mb.cz,"Viničná 463, Mladá Boleslav","Soukromá střední škola MAJA, s.r.o.","Soukromá střední škola MAJA, s.r.o.",3207,Mladá Boleslav,Středočeský
600007472,35.9,38.3,55.1,44.9,26.9,51.4,56.6,http://www.skolaspektrum.cz,"B. Němcové 482, Mladá Boleslav","Střední škola ekonomicko-podnikatelská SPEKTRUM, s.r.o. Mladá Boleslav","SŠ ekon.-podnikatelská SPEKTRUM, s.r.o.",3207,Mladá Boleslav,Středočeský
650075277,43.4,51.7,49.1,35.4,10.6,27.4,34.7,www.ssgastronomiemb.cz,"Václavkova 1040, Mladá Boleslav","Střední škola gastronomie a hotelnictví Mladá Boleslav, s.r.o.","SŠ gastronomie a hotelnictví, s.r.o.",3207,Mladá Boleslav,Středočeský
600007499,22.1,55.5,43.0,32.7,58.9,56.4,54.4,http://www.ssps.hermes-mb.cz,"Laurinova 1049, Mladá Boleslav",Střední škola podnikatelská HERMÉS MB s.r.o.,SŠ podnikatelská HERMÉS MB s.r.o.,3207,Mladá Boleslav,Středočeský
600007481,29.2,36.0,43.6,42.4,64.0,39.7,34.0,http://www.hermes-mb.cz,"Laurinova 1049, Mladá Boleslav",Střední škola tradičních řemesel HERMÉS MB s.r.o.,SŠ tradičních řemesel HERMÉS MB s.r.o.,3207,Mladá Boleslav,Středočeský
600007448,40.7,45.2,40.9,50.1,42.3,40.2,51.4,www.spsmb.cz,"Havlíčkova 456, Mladá Boleslav","Střední průmyslová škola, Mladá Boleslav, Havlíčkova 456",Střední průmyslová škola,3207,Mladá Boleslav,Středočeský
600019543,36.6,33.7,46.5,34.4,16.6,31.8,22.3,http://www.szsmb.cz,"B. Němcové 482, Mladá Boleslav","Střední zdravotnická škola a Vyšší odborná škola zdravotnická, Mladá Boleslav, B. Němcové 482",Střední zdrav. škola a VOŠ zdravotnická,3207,Mladá Boleslav,Středočeský
600007545,37.4,29.3,33.7,17.5,50.3,32.0,30.9,http://www.souskodamb.cz,"tř. Václava Klementa 869, Mladá Boleslav","ŠKODA AUTO a.s., Střední odborné učiliště strojírenské, odštěpný závod","ŠKODA AUTO a.s., SOU strojírenské, o.z.",3207,Mladá Boleslav,Středočeský
600007421,42.3,63.2,53.7,41.7,71.8,71.1,59.8,www.gmh.cz,"Studentská 896, Mnichovo Hradiště","Gymnázium, Mnichovo Hradiště, Studentská 896",Gymnázium,3207,Mladá Boleslav,Středočeský
651018048,62.6,49.1,48.3,24.2,,54.9,20.7,http://www.fofitv.info,Skalsko 1,"Střední škola fotografická, filmová a televizní, o.p.s.","SŠ fotograf., filmová a televizní,o.p.s.",3207,Mladá Boleslav,Středočeský
610450956,,,,,,,,www.hcsrdce.cz,"Chotěšice 75, Dymokury","Praktická škola Chotěšice, o.p.s.","Praktická škola Chotěšice, o.p.s.",3208,Nymburk,Středočeský
600007669,49.9,35.4,50.1,40.4,55.3,50.2,41.9,www.oalysa.cz,"Komenského 1534, Lysá nad Labem","Obchodní akademie, Lysá nad Labem, Komenského 1534",Obchodní akademie,3208,Nymburk,Středočeský
600007651,31.6,36.7,32.6,49.5,22.3,37.7,30.4,www.ogdlysa.cz,"Stržiště 475, Lysá nad Labem","Střední škola oděvního a grafického designu, Lysá nad Labem, Stržiště 475",SŠ oděvního a grafického designu,3208,Nymburk,Středočeský
691002673,,,,,,,,,"Jiřice, Ruská cesta 404, Lysá nad Labem",Střední odborné učiliště Jiřice,Střední odborné učiliště,3208,Nymburk,Středočeský
600007642,38.2,29.9,45.4,20.9,59.2,55.3,48.8,www.sossouzmk.cz,"T. G. Masaryka 4, Městec Králové","Střední odborná škola a Střední odborné učiliště, Městec Králové, T. G. Masaryka 4",SOŠ a SOU,3208,Nymburk,Středočeský
600007634,60.1,71.7,60.3,81.4,77.6,76.3,77.5,www.gym-nymburk.cz,"Komenského 779, Nymburk","Gymnázium, Nymburk, Komenského 779",Gymnázium,3208,Nymburk,Středočeský
600170195,24.6,35.2,23.5,26.0,39.7,29.1,26.3,http://www.copnb.cz,"V Kolonii 1804, Nymburk","Střední odborná škola a Střední odborné učiliště, Nymburk, V Kolonii 1804",SOŠ a SOU,3208,Nymburk,Středočeský
600007618,,,,,,,,http://www.soustravon.cz,"Tyršova 447, Nymburk",Střední odborné učiliště STRAVON spol. s r.o.,SOU STRAVON spol. s r.o.,3208,Nymburk,Středočeský
600019551,39.2,25.5,44.6,33.4,24.6,33.7,21.6,http://www.zdravkanbk.cz,"Soudní 20, Nymburk","Střední zdravotnická škola a Vyšší odborná škola zdravotnická, Nymburk, Soudní 20",Střední zdrav. škola a VOŠ zdravotnická,3208,Nymburk,Středočeský
600007570,21.9,42.0,31.3,73.6,16.1,48.5,56.3,http://www.ekopodebrady.cz,"Jiřího náměstí 1, Poděbrady",EKO Gymnázium a Střední odborná škola Multimediálních studií,EKO Gymnázium a SOŠ Multimediál. studií,3208,Nymburk,Středočeský
600007553,51.1,61.3,55.6,48.8,78.4,67.8,62.0,www.gjp.cz,"Studentská 166, Poděbrady","Gymnázium Jiřího z Poděbrad, Poděbrady, Studentská 166",Gymnázium Jiřího z Poděbrad,3208,Nymburk,Středočeský
600007561,34.6,41.1,30.4,49.5,41.5,49.3,47.0,http://www.hsvos.cz,"Komenského 156/III, Poděbrady","Hotelová škola, Vyšší odborná škola hotelnictví a turismu a Jazyková škola s právem státní jazykové zkoušky, Poděbrady, Komenského 156/III","HŠ, VOŠ hot. a turismu a JŠ s právem SJZ",3208,Nymburk,Středočeský
600007685,36.9,43.6,38.6,27.9,13.6,18.4,46.3,http://www.soupdy.cz,"Dr. Beneše 413/II, Poděbrady","Střední odborné učiliště společného stravování, Poděbrady, Dr. Beneše 413/II",SOU společného stravování,3208,Nymburk,Středočeský
600007600,24.2,43.4,40.1,30.9,30.2,43.1,24.7,http://www.szes.cz,"Boučkova 355, Poděbrady","Střední zemědělská škola a Střední odborná škola Poděbrady, příspěvková organizace",SZeŠ a SOŠ,3208,Nymburk,Středočeský
600007774,47.1,59.3,49.0,59.5,72.3,63.8,64.1,www.gbl.cz,"Královická 668, Brandýs n.L.-St.Boleslav","Gymnázium J. S. Machara, Brandýs nad Labem - Stará Boleslav, Královická 668",Gymnázium J.S.Machara,3209,Praha-východ,Středočeský
600007731,24.8,36.3,35.0,27.2,22.8,24.6,29.0,www.volny.cz/szesbranlab,"Zápská 302, Brandýs n.L.-St.Boleslav","Střední zemědělská škola, Brandýs nad Labem - Stará Boleslav, Zápská 302",Střední zemědělská škola,3209,Praha-východ,Středočeský
600170209,34.3,47.7,50.9,38.7,3.8,32.9,50.3,http://www.issb.cz,"Pražská 370, Brandýs nad Labem","Integrovaná střední škola Františka Melichara, Brandýs nad Labem - Stará Boleslav, Pražská 370",ISŠ Františka Melichara,3209,Praha-východ,Středočeský
600007693,54.2,50.2,62.3,60.9,81.2,64.4,73.0,www.gymnacel.cz,"J.A.Komenského 414, Čelákovice","Gymnázium, Čelákovice, J.A.Komenského 414",Gymnázium,3209,Praha-východ,Středočeský
600007782,31.7,27.4,17.2,16.4,51.4,31.8,22.4,http://www.soscelakovice.cz,"U Učiliště 1379, Čelákovice",Střední odborná škola Čelákovice s.r.o.,Střední odborná škola Čelákovice s.r.o.,3209,Praha-východ,Středočeský
600171761,,,,,,,,http://www.mills.cz,"náměstí 5. května 2, Čelákovice","Vyšší odborná škola, střední škola, jazyková škola s právem státní jazykové zkoušky a základní škola MILLS, s.r.o.","VOŠ, SŠ, JŠ s pr. SJZ a ZŠ MILLS, s.r.o.",3209,Praha-východ,Středočeský
600021696,,,,,,,,http://skola.kostelec.info,"K Jatkám 748, Kostelec nad Černými lesy","Základní škola a Praktická škola, Kostelec nad Černými lesy, K Jatkám 748",Základní škola a Praktická škola,3209,Praha-východ,Středočeský
600007707,33.8,49.7,42.4,36.7,39.7,39.9,62.2,http://www.sslvt.cz,"U Letiště 370, Odolena Voda","Střední škola letecké a výpočetní techniky, Odolena Voda, U Letiště 370",SŠ letecké a výpočetní techniky,3209,Praha-východ,Středočeský
610451219,52.4,78.4,62.1,56.3,98.0,74.9,71.1,http://www.mkg.cz,"Táborská 1685, Říčany u Prahy","Masarykovo klasické gymnázium, s.r.o.","Masarykovo klasické gymnázium, s.r.o.",3209,Praha-východ,Středočeský
600007766,50.0,65.8,68.1,58.4,89.2,81.4,74.4,http://gymnazium.ricany.cz,"Komenského náměstí 1, Říčany","Gymnázium, Říčany, Komenského náměstí 1/1280",Gymnázium,3209,Praha-východ,Středočeský
650068955,67.5,88.9,86.1,73.5,,81.5,89.4,http://www.opengate.cz,"Babice 5, Říčany","OPEN GATE - gymnázium a základní škola, s.r.o.","OPEN GATE - gymnázium a ZŠ, s.r.o.",3209,Praha-východ,Středočeský
691003921,,,,,,,,http://www.sosricany.cz,"Jiráskova 1519, Říčany",Střední odborná škola stravování Říčany s.r.o.,SOŠ stravování Říčany s.r.o.,3209,Praha-východ,Středočeský
600022064,,,,,,,,oukunice.cz,"Kunice 60, Strančice","Odborné učiliště, Kunice 60",Odborné učiliště,3209,Praha-východ,Středočeský
691004498,,,,,,,,,"Vonoklasy, Černošická 20, Černošice",Střední odborné učiliště MAVO EDUCATION,Střední odborné učiliště MAVO EDUCATION,3210,Praha-západ,Středočeský
691002339,,,,,,,,http://www.gymnazium-hostivice.cz,"Komenského 141, Hostivice","Gymnázium Hostivice, příspěvková organizace",Gymnázium,3210,Praha-západ,Středočeský
600007804,48.7,44.4,44.9,16.3,19.8,34.0,66.2,,"Čs. armády 17, Hostivice","Střední odborné učiliště OPTIMA-DUO, spol. s r.o.","SOU OPTIMA-DUO, spol. s r.o.",3210,Praha-západ,Středočeský
651024617,,,,,,,,http://www.sunnycanadian.cz,"Straková 522, Jesenice","Sunny Canadian International School - Základní škola a Gymnázium, s.r.o.","Sunny Canadian IS-ZŠ a Gymnázium, s.r.o.",3210,Praha-západ,Středočeský
600007791,16.4,18.4,10.1,15.4,,14.6,11.1,http://www.soupjilove.cz,"Šenflukova 220, Jílové u Prahy","Střední odborné učiliště potravinářské, Jílové u Prahy, Šenflukova 220",Střední odborné učiliště potravinářské,3210,Praha-západ,Středočeský
600170217,27.5,25.5,29.6,23.5,14.6,28.4,20.4,http://issstredokluky.webnode.cz,"Školská 105, Středokluky","Integrovaná střední škola Stanislava Kubra, Středokluky, Školská 105",ISŠ Stanislava Kubra,3210,Praha-západ,Středočeský
600007871,27.2,27.9,25.4,33.3,44.0,30.8,24.7,http://www.sbrez.cz,"Rožmitálská 340, Březnice","Vyšší odborná škola a Střední odborná škola, Březnice, Rožmitálská 340",VOŠ a SOŠ,3211,Příbram,Středočeský
600007812,54.5,76.3,71.9,80.5,93.8,74.4,80.5,www.gymkc.cz,"Školní 1530, Dobříš","Gymnázium Karla Čapka, Dobříš, Školní 1530",Gymnázium Karla Čapka,3211,Příbram,Středočeský
600007910,47.8,76.5,58.2,55.7,65.4,58.4,64.0,www.gshpb.cz,"Balbínova 328, Příbram II","Gymnázium pod Svatou Horou, Příbram II, Balbínova 328",Gymnázium pod Svatou Horou,3211,Příbram,Středočeský
600007821,31.4,42.2,37.2,28.4,49.3,41.1,39.5,http://www.spspb.cz,"Hrabákova 271, Příbram II","Střední průmyslová škola a Vyšší odborná škola, Příbram II, Hrabákova 271",SPŠ a VOŠ,3211,Příbram,Středočeský
610451251,50.9,51.3,37.4,56.2,0.2,61.0,51.0,http://www.waldorf.pb.cz,"Hornická 327, Příbram II","Waldorfská škola Příbram - Základní škola, Gymnázium a Střední odborné učiliště Příbram, Hornická 327","Waldorfská škola - ZŠ, Gymnázium a SOU",3211,Příbram,Středočeský
600007839,33.5,27.2,45.2,29.1,55.3,42.9,30.1,http://www.oapb.cz,"Na Příkopech 104, Příbram I","Obchodní akademie a Vyšší odborná škola, Příbram I, Na Příkopech 104",Obchodní akademie a Vyšší odborná škola,3211,Příbram,Středočeský
600019560,31.0,38.9,38.2,31.1,29.7,32.9,33.8,http://www.szs.pb.cz,"Jiráskovy sady 113, Příbram I","Střední zdravotnická škola a Vyšší odborná škola zdravotnická, Příbram I, Jiráskovy sady 113",Střední zdrav. škola a VOŠ zdravotnická,3211,Příbram,Středočeský
600170225,,,,,,,,http://www.ouu.pb.cz,"Pod Šachtami 335, Příbram IV","Odborné učiliště, Praktická škola, Základní škola a Mateřská škola Příbram IV, příspěvková organizace","OU, PrŠ, ZŠ a MŠ",3211,Příbram,Středočeský
600007847,62.5,69.7,73.2,58.5,63.8,77.9,73.5,www.gym.pb.cz,"Legionářů 402, Příbram VII","Gymnázium, Příbram, Legionářů 402",Gymnázium,3211,Příbram,Středočeský
600170233,25.4,32.6,23.4,22.8,18.9,19.3,18.6,,"Gen. R. Tesaříka 114, Příbram","Integrovaná střední škola hotelového provozu, obchodu a služeb, Příbram, Gen. R. Tesaříka 114","ISŠ hotelového provozu, obchodu a služeb",3211,Příbram,Středočeský
600007928,31.0,28.0,23.4,16.9,27.6,23.3,17.2,http://www.dubno.cz,"Dubno, Příbram","Střední odborná škola a Střední odborné učiliště, Dubno",SOŠ a SOU,3211,Příbram,Středočeský
600007855,58.0,56.7,47.9,67.4,72.2,49.0,50.3,www.goasedlcany .cz,"Nádražní 90, Sedlčany","Gymnázium a Střední odborná škola ekonomická, Sedlčany, Nádražní 90",Gymnázium a SOŠ ekonomická,3211,Příbram,Středočeský
600007898,45.6,24.7,34.3,20.0,19.3,15.4,31.5,http://www.souch.sedlcany.cz,"Na Červeném Hrádku 766, Sedlčany",Střední odborné učiliště Sedlčany o.p.s.,Střední odborné učiliště Sedlčany o.p.s.,3211,Příbram,Středočeský
600007901,44.0,32.5,35.8,41.8,18.5,18.5,19.6,http://www.sou.sedlcany.cz,"Petra Bezruče 364, Sedlčany","Střední odborné učiliště, Sedlčany, Petra Bezruče 364",Střední odborné učiliště,3211,Příbram,Středočeský
600007880,51.7,28.9,23.6,17.1,29.3,25.4,21.3,http://www.souhlubos.cz,Hluboš 178,"Střední odborné učiliště, Hluboš 178",Střední odborné učiliště,3211,Příbram,Středočeský
600027970,,,,,,,,http://vychovnyustavoboriste.cz,Obořiště 1,"Výchovný ústav, střední škola a školní jídelna, Obořiště 1","VÚ, SŠ a ŠJ",3211,Příbram,Středočeský
600170268,36.1,18.0,41.4,7.9,19.6,16.0,2.3,www.issjesenice.cz,"Žatecká 1, Jesenice","Integrovaná střední škola, Jesenice, Žatecká 1",Integrovaná střední škola,3212,Rakovník,Středočeský
600171469,,,,,,,,http://www.zmapjesenice.cz,"Plzeňská 63, Jesenice","Základní škola, Mateřská škola speciální a Praktická škola, Jesenice, Plzeňská 63","ZŠ, MŠ speciální a PrŠ",3212,Rakovník,Středočeský
600007979,,,,,,,,www.sou-krivoklat.cz,"Písky 181, Křivoklát","Střední lesnická škola a Střední odborné učiliště, Křivoklát, Písky 181",Střední lesnická škola a SOU,3212,Rakovník,Středočeský
600007961,30.8,52.5,54.6,28.6,60.8,57.6,58.2,www.gymnnovstra.cz,"Komenského nám. 209, Nové Strašecí","Gymnázium J. A. Komenského, Nové Strašecí, Komenského nám. 209",Gymnázium J. A. Komenského,3212,Rakovník,Středočeský
600007944,24.2,,15.7,,18.5,34.1,,http://www.souzns.cz,"Sportovní 1135, Nové Strašecí","Střední odborné učiliště, Nové Strašecí, Sportovní 1135",Střední odborné učiliště,3212,Rakovník,Středočeský
600007952,39.8,57.2,71.0,64.8,77.4,70.4,65.8,http://www.gzw.cz,"nám. J. Žižky 186, Rakovník","Gymnázium Zikmunda Wintra, Rakovník, nám. J. Žižky 186",Gymnázium Zikmunda Wintra,3212,Rakovník,Středočeský
600170250,36.3,24.5,31.5,36.8,29.8,19.2,18.2,http://issrakovnik.sweb.cz,"Na Jirkově 2309, Rakovník","Integrovaná střední škola, Rakovník, Na Jirkově 2309",Integrovaná střední škola,3212,Rakovník,Středočeský
600007987,54.3,60.4,69.1,64.6,56.2,48.9,57.3,www.moarako.cz,"Pražská 1222, Rakovník","Masarykova obchodní akademie, Rakovník, Pražská 1222",Masarykova obchodní akademie,3212,Rakovník,Středočeský
600022188,,,,,,,,http://www.zsrako.cz,"Františka Diepolta 1576, Rakovník","Střední škola, Základní škola a Mateřská škola speciální, Rakovník, Františka Diepolta 1576","SŠ, ZŠ a MŠ speciální",3212,Rakovník,Středočeský
600170241,27.9,54.4,25.6,27.6,32.7,31.4,54.4,http://www.spsrakovnik.cz,"Gen. Kholla 2501/II, Rakovník","Střední průmyslová škola, Rakovník, Gen. Kholla 2501/II",Střední průmyslová škola,3212,Rakovník,Středočeský
600007936,35.1,40.3,36.0,42.4,26.6,30.3,45.9,http://www.szesrak.cz,"Pražská 1222, Rakovník","Střední zemědělská škola, Rakovník, Pražská 1222",Střední zemědělská škola,3212,Rakovník,Středočeský
600020231,17.4,22.5,48.6,31.2,,75.7,64.9,www.vosss.cz,"Emy Destinové 395, České Budějovice 2","Vyšší odborná škola a Střední škola, s.r.o.","VOŠ a Střední škola, s.r.o.",3301,České Budějovice,Jihočeský
600008088,67.6,71.0,86.5,80.4,91.2,77.4,85.5,http://www.bigy-cb.cz,"Jirsíkova 5, České Budějovice",Biskupské gymnázium J. N. Neumanna a Církevní základní škola,Biskup. gymn. J.N.Neumanna a Církevní ZŠ,3301,České Budějovice,Jihočeský
600008100,44.8,71.7,72.1,71.6,59.9,62.9,74.2,http://www.crg.cz,"Pražská 54a, České Budějovice",České reálné gymnázium s.r.o.,České reálné gymnázium s.r.o.,3301,České Budějovice,Jihočeský
600008096,46.3,78.7,66.4,65.0,75.1,70.0,75.2,www.cag.cz,"Třebízského 1010, České Budějovice",Česko-anglické gymnázium s.r.o.,Česko-anglické gymnázium s.r.o.,3301,České Budějovice,Jihočeský
600008266,30.7,54.1,46.7,58.7,34.0,47.9,57.4,www.ceskebudejovice.educanet.cz,"Čéčova 2092/66, České Budějovice","EDUCAnet - gymnázium a střední odborná škola České Budějovice, s.r.o.","EDUCAnet - gymnázium a SOŠ ČB, s.r.o.",3301,České Budějovice,Jihočeský
600008151,43.1,49.1,52.4,51.1,80.2,70.6,67.0,http://www.gymceska.cz,"Česká 64, České Budějovice","Gymnázium Česká a Olympijských nadějí, České Budějovice, Česká 64",Gymnázium Česká a Olympijských nadějí,3301,České Budějovice,Jihočeský
600007995,50.8,65.8,74.4,72.3,76.3,78.8,72.7,www.gjvj.cz,"Fráni Šrámka 23, České Budějovice","Gymnázium J. V. Jirsíka, České Budějovice, Fráni Šrámka 23",Gymnázium J. V. Jirsíka,3301,České Budějovice,Jihočeský
600008002,55.6,64.9,73.3,64.9,84.1,81.3,80.4,http://gymji.cz,"Jírovcova 8, České Budějovice","Gymnázium, České Budějovice, Jírovcova 8",Gymnázium,3301,České Budějovice,Jihočeský
600022242,,,,,,,,http://www.stitneho-cb.cz,"Štítného 3, České Budějovice","Mateřská škola, Základní škola a Praktická škola, České Budějovice, Štítného 3","MŠ, ZŠ a Praktická škola",3301,České Budějovice,Jihočeský
600022277,,,,,,,,http://www.arpida.cz,"U Hvízdala 9, České Budějovice","Mateřská škola, Základní škola a Praktická škola při centru ARPIDA, o.p.s.","MŠ, ZŠ a PrŠ při centru ARPIDA, o.p.s.",3301,České Budějovice,Jihočeský
600022234,,,,,,,,www.sluchpostcb.cz,"Riegrova 1, České Budějovice","Mateřská škola, základní škola a střední škola pro sluchově postižené, České Budějovice, Riegrova 1","MŠ, ZŠ a SŠ pro sluchově postižené",3301,České Budějovice,Jihočeský
600008045,43.9,45.0,56.6,48.3,60.0,54.2,44.7,www.oacb.cz,"Husova 1, České Budějovice","Obchodní akademie, České Budějovice, Husova 1",Obchodní akademie,3301,České Budějovice,Jihočeský
600008169,46.4,50.5,58.7,50.9,47.0,50.3,61.7,http://www.soscb.cz,"Rudolfovská 92, České Budějovice","Střední odborná škola veterinární, mechanizační a zahradnická a Jazyková škola s právem státní jazykové zkoušky, České Budějovice, Rudolfovská 92","SOŠ veter.,mech.a zahr. a JŠ s práv. SJZ",3301,České Budějovice,Jihočeský
600008215,38.8,38.0,58.1,35.5,9.7,40.9,41.8,http://www.skolacb.cz,"Jeronýmova 28/22, České Budějovice","Soukromá střední škola a jazyková škola s právem státní jazykové zkoušky Č. Budějovice, s.r.o.","Soukromá SŠ a JŠ Č.Budějovice, s.r.o.",3301,České Budějovice,Jihočeský
600008207,43.2,37.3,27.9,52.9,54.0,51.3,47.8,http://www.spssecb.cz,"Dukelská 13, České Budějovice","Střední průmyslová škola strojní a elektrotechnická, České Budějovice, Dukelská 13",SPŠ strojní a elektrotechnická,3301,České Budějovice,Jihočeský
600008118,48.7,38.2,55.9,34.3,68.5,71.3,42.0,www.stredniskola.cz,"Žižkova tř. 4, České Budějovice","Střední škola informatiky a právních studií, o.p.s.","SŠ informatiky a právních studií, o.p.s.",3301,České Budějovice,Jihočeský
600170314,37.6,40.8,44.2,33.1,44.5,35.6,27.3,http://www.ssvos.cz,"Kněžskodvorská 33/A, České Budějovice","Střední škola obchodu, služeb a podnikání a Vyšší odborná škola, České Budějovice, Kněžskodvorská 33/A","SŠ obchodu, služeb a podnikání a VOŠ",3301,České Budějovice,Jihočeský
600008185,34.9,56.0,49.7,48.0,58.9,43.1,59.9,www.stavarna.eu,"Resslova 2, České Budějovice","Střední průmyslová škola stavební, České Budějovice, Resslova 2",Střední průmyslová škola stavební,3301,České Budějovice,Jihočeský
600170331,45.7,57.9,42.9,35.3,44.3,38.9,54.3,http://www.skolacrcb.cz,"Senovážné náměstí 12, České Budějovice","Střední škola a Vyšší odborná škola cestovního ruchu, České Budějovice, Senovážné náměstí 12",Střední škola a VOŠ cestovního ruchu,3301,České Budějovice,Jihočeský
600170292,34.6,42.5,38.8,45.9,23.0,36.1,40.2,http://www.sso.cz,"Husova 9, České Budějovice","Střední škola obchodní, České Budějovice, Husova 9",Střední škola obchodní,3301,České Budějovice,Jihočeský
600170306,33.4,37.4,31.7,41.6,33.8,41.3,35.8,http://www.issstavcb.cz,"Nerudova 59, České Budějovice","Střední škola polytechnická, České Budějovice, Nerudova 59",Střední škola polytechnická,3301,České Budějovice,Jihočeský
600019578,35.4,40.2,39.8,42.3,47.7,44.3,35.3,http://szscb.wz.cz,"Husova 3, České Budějovice","Střední zdravotnická škola a Vyšší odborná škola zdravotnická, České Budějovice, Husova 3",Střední zdravotnická škola a VOŠ zdrav.,3301,České Budějovice,Jihočeský
600008193,42.0,48.3,40.8,39.0,63.7,47.1,49.6,http://www.spsautocb.cz,"Skuherského 3, České Budějovice","Vyšší odborná škola, Střední průmyslová škola automobilní a technická, České Budějovice, Skuherského 3","VOŠ, SPŠ automobilní a technická",3301,České Budějovice,Jihočeský
600170276,35.5,42.6,20.5,45.2,36.9,32.6,52.4,http://www.sosehl.cz,"Zvolenovská 537, Hluboká nad Vltavou","Střední odborná škola elektrotechnická, Centrum odborné přípravy, Hluboká nad Vltavou, Zvolenovská 537","SOŠ elektrotechnická, COP",3301,České Budějovice,Jihočeský
600008142,,,,,,,,www.townshend.cz,"Hradčany 1070, Hluboká nad Vltavou","Townshend mezinárodní gymnázium, o.p.s.","Townshend mezinárodní gymnázium, o.p.s.",3301,České Budějovice,Jihočeský
651023599,,,,,,,,http://www.sou-lisov.cz,"tř. 5. května 3, Lišov","Střední odborné učiliště, Lišov, tř. 5. května 3",Střední odborné učiliště,3301,České Budějovice,Jihočeský
600008037,71.4,71.1,87.1,62.0,86.5,68.5,73.4,http://www.gymtrhovesviny.cz,"Školní 995, Trhové Sviny","Gymnázium, Trhové Sviny, Školní 995",Gymnázium,3301,České Budějovice,Jihočeský
600022226,,,,,,,,http://www.zspssviny.cz,"Nové Město 228, Trhové Sviny","Mateřská škola, Základní škola a Praktická škola, Trhové Sviny, Nové Město 228","MŠ, ZŠ a Praktická škola",3301,České Budějovice,Jihočeský
600008061,27.2,68.1,37.2,52.0,18.0,36.4,18.5,http://www.souts.cz,"Školní 709, Trhové Sviny","Střední odborná škola a Střední odborné učiliště, Trhové Sviny, Školní 709",SOŠ a SOU,3301,České Budějovice,Jihočeský
600008029,38.7,46.9,45.7,64.4,79.2,77.9,65.5,www.gtnv.cz,"Havlíčkova 13, Týn nad Vltavou","Gymnázium, Týn nad Vltavou, Havlíčkova 13",Gymnázium,3301,České Budějovice,Jihočeský
600170284,39.5,17.3,52.9,8.3,61.9,34.5,7.9,http://www.isshnevkovice.cz,"Hněvkovice 1, Týn nad Vltavou","Střední odborná škola a Střední odborné učiliště, Hněvkovice 1","SOŠ a SOU, Hněvkovice 1",3301,České Budějovice,Jihočeský
